,Id,Sentence,First Topic,Second Topic,Third Topic,Fourth Topic
688,IL3_DF_020008_20150522_G00400HQK_segment_19,"This made a very bad, even disastrous change in the natural ecology of Qarluq Ghol.",Others,,,
689,IL3_WL_031245_20160427_G0040007J_segment_7,"Tahir, the mayor of Dongmelle Village in Tokkuztara county, said, ""The Philanthropist Fathers came such a long way from Urumqi to console us. We're extremely grateful for this. All the people were very happy about this also. Since our village has suffered greatly from the disaster, the Communist Party and the government are very concerned with people's lives in our village.",Others,,,
690,IL3_DF_020007_20160502_G0040128W_segment_4,1940: The Jewish ghetto in Warsaw is sealed off by a high wall from the outer world.,Others,,,
691,IL3_SN_000370_20160306_G0T0004VH_segment_0,The Turks in Afghanistan were attacked. https://t.co/j9aFV60SmL,Others,,,
692,IL3_DF_031212_20140219_G0040007R_segment_28,This message was edited by marjan.,Others,,,
693,IL3_NW_031214_20140215_G00400061_segment_7,"The anxious greetings were spread by Wechat, which has been adapted into our modern life and provided us a small debating platform.",Others,,,
694,IL3_DF_020008_20160429_G00400GLC_segment_41,"Yes, that was in the mind of the writer.",Others,,,
695,IL3_DF_031211_20150522_G0040007W_segment_18,"The passionate and warm-hearted volunteers and philanthropists, who came from other places to help in Qaradöwe, Lapchuq, and Tohuchi, have already arrived in these wounded ancient towns.",Others,,,
696,IL3_DF_020008_20160429_G00400KIF_segment_50,Its content is decent.,Others,,,
697,IL3_DF_020008_20160429_G00400KIF_segment_43,Its content is decent.,Others,,,
698,IL3_DF_020008_20160429_G00400KIF_segment_40,Its content is decent.,Others,,,
699,IL3_DF_020008_20160429_G00400KIF_segment_33,The content is good.,Others,,,
700,IL3_DF_020008_20140220_G00400IAW_segment_15,Almost no rain.,Others,,,
701,IL3_DF_020008_20160429_G00400K1T_segment_91,"I am confused why these irresponsible journalists don't report this news in order to bear the people's burdens. First, the most important thing is to cure your elder brother.",Others,,,
702,IL3_DF_020007_20160502_G0040129G_segment_13,"A female chief, Marie.",Others,,,
703,IL3_WL_031211_20140214_G00400066_segment_14,Where is love?,Others,,,
704,IL3_NW_031209_20160218_G004030EN_segment_31,"Picture: Recife, Brazil 23-year-old Suma is standing in front of her house in a poor neighborhood.",Others,,,
705,IL3_DF_020007_20160125_G00400B97_segment_62,This is the conspiracy of Jews and Masons.,Others,,,
706,IL3_WL_031228_20140215_G0040006G_segment_6,How about the others?,Others,,,
707,IL3_WL_031229_20140225_G0040006K_segment_6,How about the others?,Others,,,
708,IL3_NW_031214_20140215_G00400061_segment_6,How about the others?,Others,,,
709,IL3_DF_031212_20140219_G0040007R_segment_32,I think that Wechat and other Internet platforms played the more significant role in relieving the victims of the earthquake.,Others,,,
710,IL3_NW_031214_20140215_G00400061_segment_41,What is the reason of this?,Others,,,
711,IL3_DF_020007_20160105_G004000AK_segment_10,"He lived as who he was, didn't he?",Others,,,
712,IL3_WL_031211_20140214_G00400066_segment_19,What I am seeing ?,Others,,,
713,IL3_DF_020007_20140826_G00400ER1_segment_34,It is bad then.,Others,,,
714,IL3_WL_031245_20160427_G0040007J_segment_4,"Hasanjan Abdurahman, the head of the Philanthropist Fathers Collective of the Urumqi Charity Association, said, ""upon watching and learning about the earthquake disaster in Tokkuztara county from TV, newspapers, and websites, we were very sad. So we immediately started fundraising within our team for the stricken area and in just a few days we were able to collect 70,000 yuan. Today we came here bringing this money to console the people in the stricken area.",Others,,,
715,IL3_WL_031229_20140225_G0040006K_segment_45,People said that.,Others,,,
716,IL3_DF_031213_20140212_G0040007S_segment_35,May Allah bless them from there.,Others,,,
717,IL3_NW_031234_20160217_G004030C7_segment_5,"Zika is a mosquito-transmitted virus. Once infected, patients will experience symptoms like low fever and pipes. However, it is not contagious from a human, and the death rate is very low. The disease's symptoms disappear within a week.",Others,,,
718,IL3_NW_031239_20140807_G00400078_segment_8,"A water shortage problem happened, affecting four hundred and twenty people and more than two million livestock.",Others,,,
719,IL3_DF_020008_20160429_G00400GLC_segment_73,Allah is just.,Others,,,
720,IL3_SN_000370_20160309_G0T0004Y0_segment_0,Daish attacked Tahurmahu village with chemical gas. https://t.co/HE4CGAbcMe,Others,,,
721,IL3_WL_031229_20140225_G0040006K_segment_22,"Generally, no Uyghurs were left out of these kind actions.",Others,,,
722,IL3_WL_031228_20140215_G0040006G_segment_23,"Generally, no Uyghurs were left out of these kind actions.",Others,,,
723,IL3_DF_031213_20140212_G0040007S_segment_43,"Gold coin: 10768, contribution: 736, essential article: 0, register time: 06 07 2010, last online time: 02 19 2014",Others,,,
724,IL3_DF_031213_20140212_G0040007S_segment_45,"Gold coin: 10768, contribution: 736, essential article: 0, register time: 06 07 2010, last online time: 02 19 2014",Others,,,
725,IL3_DF_031211_20140214_G0040007O_segment_17,"If this government should eliminate these extreme boars in the south, rather than arresting the corrupt officials in the inland, there would be a stable, peaceful, fair and harmonious Xinjiang society.",Others,,,
726,IL3_DF_031211_20140214_G0040007O_segment_16,The south is the most corrupt land.,Others,,,
727,IL3_NW_031208_20140515_G0040004Y_segment_14,"This is the great promise of the party and government, and also the hope of the people in the disaster area.",Others,,,
728,IL3_WL_031211_20140214_G00400066_segment_15,Where is brotherhood?,Others,,,
729,IL3_DF_031213_20140212_G0040007S_segment_39,"Gold coin: 155, contribution:28, essential article: 0, register time: 02 09 2014, last online time: 11 29 2014, message",Others,,,
730,IL3_WL_031211_20140214_G00400066_segment_7,"f the money is distributed to eight thousand people, it will be 1250 CNY for each person.",Others,,,
731,IL3_WL_031219_20140215_G0040005M_segment_22,Let the tears stop from your eyes Keriya.,Others,,,
732,IL3_NW_020005_20150520_G004007AD_segment_0,Where are the children who went missing in China?,Others,,,
733,IL3_WL_031211_20150522_G0040006V_segment_26,The leader who works for their people will always be respected.,Others,,,
734,IL3_WL_031219_20140215_G0040005M_segment_0,Let Keriya stop her tears (Appeal),Others,,,
735,IL3_DF_020007_20160125_G00400B97_segment_24,The biggest concern of the doctors who are doing research on the Zika virus is the hidden effect of the virus on unborn babies.,Others,,,
736,IL3_SN_000370_20160410_G0T0005CP_segment_0,The suspects of the Brussels terrorist attacks have been captured: Belgium authority The terrorist attack on 22 march. https://t.co/1a4kD39gp3,Others,,,
737,IL3_DF_020007_20160125_G00400B97_segment_43,These kinds of flu virus might emerge if the weather gets hot rapidly.,Others,,,
738,IL3_WL_031224_20140221_G0040005T_segment_2,"At the moment that all of us were very confident and happy, unexpected bad news made us unhappy.",Others,,,
739,IL3_NW_031237_20151208_G004030D6_segment_1,"It was reported on Iran Paris Television Media Network's news on December 7[th] that H1N1 flu (swine flu) has spread in three states in the northwestern part of the country, which has caused the deaths of 33 people. It was possible that it would keep spreading.",Others,,,
740,IL3_DF_020015_20160502_G004013ZA_segment_16,More than 100 people attended this meeting.,Others,,,
741,IL3_NW_031231_20160307_G00400071_segment_1,Fijian government officials reported that 35 thousand people lost their residences due to the cyclone. They are staying in shelters now.,Others,,,
742,IL3_DF_020008_20160429_G00400K1T_segment_32,You can cure the local deaf police by complaining to the program of Law and Citizen.,Others,,,
743,IL3_WL_031211_20150522_G0040006V_segment_4,The traditional underground water system of Kariz that has several hundred years history has been filled with mud and it was only the reliable source of drinking water in the area.,Others,,,
744,IL3_WL_031211_20140214_G00400066_segment_27,Where are our businessmen and riches?,Others,,,
745,IL3_NW_031214_20140217_G0040005O_segment_5,"Until 18:00, Feb 14, 68,340 houses have toppled, 91,096 houses have been damaged severely, and 77,372 houses have been damaged slightly. 11,515 livestock have died, 497 bridges and tunnels have been destroyed, 113 parts of road have cracked, but no casualty has been reported yet.",earthquake disaster,inundate,flood hospital,virus
746,IL3_DF_031211_20140214_G0040007O_segment_2,"The statistic released by the Civil Affair Bureau of the Autonomous Region shows that as of eight o'clock on Feb 14, in the quake-hit Hotan District's six counties (including Keriye, Chira, Lop, Qaraqash, and Hotan) 58,127 people were affected. 19905 has been relocated to a safe place. 3246 properties belonging to 1156 families have been toppled, 14540 properties belonging to 5489 families have been seriously damaged, and 2163 various livestock have been killed. 54 bridges and 42.2 km in roads have been damaged. The death toll remains unknown.",earthquake disaster,disaster earthquake rescue,earthquake,earthquake resettle
747,IL3_WL_031211_20140215_G0040005I_segment_11,"The statistical information from the Civil Affairs Bureau of the Autonomous Region: 58127 people have been affected by the disaster in the six counties of Hotan Prefecture including Keriya, Niye, Chira, Lop, Qarakash, and Hotan county by the time 8:00 A.M ( Urumchi Time) February 14. 19905 people were evacuated promptly. 3246 rooms of 1156 household have collapsed. 14540 rooms of 5489 household have been severely damaged. 15782 rooms of 7254 household have been slightly damaged. 2163 livestock killed. 54 bridges and 42.2 Kilometers of roads have been damaged. Casualties are unclear.",earthquake disaster,disaster earthquake rescue,earthquake,earthquake resettle
748,IL3_DF_020007_20140922_G00400EMN_segment_14,"Contact information: Ababekri Hajim, phone: 13565534306 Address : 491 Taibi Road, New Lop Station, Hotan. He specializes in blood cancer, women's health, cardiovascular disease, digestion, tumors, and HIV diseases.",earthquake disaster,inundate,flood hospital,virus
749,IL3_WL_031245_20160427_G0040007J_segment_1,"Correspondent Nijat Niyaz reports with photos: Though it's almost the month of December, Tokkuztara county in Ili Prefecture is still enjoying the warm weather. The warm sunshine is making people feel warm, prosperous and peaceful. The 10 representatives of the Philanthropist Fathers Collective of the Urumqi Charity Association who just travelled more than 800 kilometers distance from Urumqi have arrived in Tokkuztara county to express their sympathy to all people in the disaster area of Tokkuztara county. In the early morning of November 13, guided by the county and village leaders, the team went to the heavily damaged areas of Moyung Guzer hamlet, Gongshang hamlet, Kesme Bulaq hamlet, Kizilnur hamlet, Dongmelle hamlet, Oytam hamlet and Uchkun hamlet, of Dong Mahalla village in Tokkuztara county, and conveyed greetings to families who had been the recipients of the ""minimum life insurance system"" who have seriously suffered from the disaster, as well as veteran teachers and patriotic religious figures that numbered almost 100.",earthquake disaster,inundate,earthquake magnitude,earthquake magnitude
750,IL3_WL_031245_20160427_G0040007J_segment_10,"It is reported that on November 1, 2011, at 6:21, on the border of Ghulja county and Tokkuztara county, in the Ili Kazakh Autonomous Prefecture of the Xinjiang Uyghur Autonomous Region (latitude 43.6 degrees north and longitude 82.4 degrees east), a magnitude-6 earthquake occurred. The depth of the earthquake was 10 kilometers. A minute later, at 6:21, on the border of Nilka county and Kunes county of the Ili Kazakh Autonomous Prefecture of the Xinjiang Uyghur Autonomous Region (latitude 43.6 degrees north and longitude 82.6 degrees east) a magnitude-4.1 earthquake occurred. The depth of the earthquake was 8 kilometers.",earthquake disaster,inundate,flood hospital,virus
751,IL3_NW_031243_20160427_G0040007F_segment_1,"Name: viewed 5513 times. Magnitude 6.6 earthquake occurred in Xinjiang Uyghur Autonomous Region and the tremor in Urumchi City was very strong. Alkuyi Network news , June 30 : At 03:07 Urumchi Time , June 30, 2012, in the border between Kunes County, Ili Kazak Autonomous Prefecture, Xinjiang Uyghur Autonomous Region, and Hejing County, Batin'ghulin Prefecture (at 43.4 degrees north latitude and 84.8 degrees east longitude) a strong 6.6 magnitude earthquake occurred. The earthquake depth was 7 km.",earthquake disaster,inundate,flood hospital,virus
752,IL3_NW_031231_20140224_G0040006M_segment_2,"According to the statistics of the Xinjiang Autonomous Region Public Service Office, as of 8:00 am (Urumqi time) on February 18[th], 58,127 people from 6 villages of the Hotan province in the disaster areas, including Keriya, Niya, Qira, Lop, Karakash, and country of Hotan, were affected by the disaster. 19,905 were safely resettled. 1,156 families' 3,246 houses collapsed. 5,489 families' 14,540 houses were severely damaged. 7,254 families' 15,782 houses were slightly damaged. 2163 sheep died. A bridge, and a 42.2 kilometer-long road was destroyed. The death report was unclear.",earthquake disaster,disaster earthquake rescue,earthquake,disaster government
753,IL3_NW_031222_20140217_G0040005R_segment_11,"On February 13[th], an Area Resources Board of Xinjiang Autonomy geological earthquake prevention emergency rescue team was sent to disaster areas to review geological countermeasures and guide local disaster preparation efforts.",earthquake disaster,disaster earthquake rescue,earthquake,earthquake resettle
754,IL3_NW_031214_20140217_G00400058_segment_4,"At 23:30, Feb 13, more than 60,000 people in Keriye County, Qira County, Niya County, Lop County, Karakash County, Hotan County and Hotan City have suffered from the earthquake, more than 20,000 people have immediately relocated to safety, more than 3000 houses of 1000 families have toppled, more than 2000 livestock have died, and no death count has been reported.",earthquake disaster,disaster earthquake rescue,earthquake,earthquake resettle
755,IL3_NW_031208_20140515_G0040004Y_segment_5,"As the nearest township to the epicenter, Achchan is the most affected village. During the earthquake 58 families lost their 98 units, and 126 families' houses were damaged in different degrees.",earthquake disaster,disaster earthquake rescue,village collapse mountain earthquake,earthquake village
756,IL3_NW_031210_20140213_G0040006B_segment_1,"The report from Xinhua Network Feb 13. According to the newest statistic from the Civil Affair Bureau of Autonomous Region, a 7.3 magnitude earthquake on Feb 12 affected 7800 people in six counties in Hotan Prefecture, though, thankfully, no casualties have been reported.",earthquake disaster,disaster earthquake rescue,earthquake livestock disaster,earthquake disaster
757,IL3_NW_031214_20140217_G0040007K_segment_1,"(Jiang Li)The 7.3 magnitude earthquake occurred in Keriya at 9:15 （Urumqi time）on February 12, with the epicentre approximately 12 kilometers away. The earthquake affected more than sixty thousand from six provinces and the city of Hotan.",earthquake disaster,disaster earthquake rescue,village collapse mountain earthquake,earthquake village
758,IL3_DF_031211_20140214_G0040007O_segment_6,"A 7.3 magnitude earthquake jolted Hotan District on Feb. 12 at 5:19 p.m. The epicenter, with a depth of 1200 m, was located at 36.1 degrees north latitude, and 82.5 degrees longitude.",earthquake disaster,inundate,flood hospital,virus
759,IL3_DF_031211_20140214_G0040007O_segment_1,"The number of victims in Keriye Earthquake has reached 50,000, according to journalist Mao Yong in the Xinhua Agency's report on Feb. 14. According to the report from the Civil Affair Bureau, the Autonomous Region was informed thatfurther investigation in the quake-hit region of Keriye County reveals that the number of victims has reached 50,000. However, the exact death toll remains unknown.",earthquake disaster,disaster earthquake rescue,earthquake livestock disaster,earthquake disaster
760,IL3_NW_031209_20151011_G004030D2_segment_4,"According to the disease report, the five most common infectious diseases were Pneumonia, Tuberculosis, Venereal disease, Contractile vacuole, and #translated, which occupied 92% of the B category infectious diseases.",earthquake disaster,inundate,flood hospital,virus
761,IL3_NW_031227_20140217_G0040006C_segment_1,"(Jiang Li) The 7.3 magnitude earthquake occurred in Keriya at 9:15 (Urumqi time) on February 12, with the epicenter approximately 12 kilometers away. The earthquake affected more than 60 thousand people from six provinces and the city of Hotan.",earthquake disaster,disaster earthquake rescue,earthquake,earthquake resettle
762,IL3_NW_031214_20140217_G0040007K_segment_28,"More than three years later, the Autonomous Region has invested 81,500,000,000 yuan for building 920 thousands houses to appease victims. As a result, more than 3 million 600 thousands farmers and herdsmen have moved into strong and earthquake-resistant houses.",earthquake disaster,disaster earthquake rescue,earthquake,earthquake resettle
763,IL3_WL_031211_20140215_G0040005I_segment_10,"Xinhua News Agency, Urumqi. February 14 ; According to the information that reporter Mao Yong obtained from the Civil Affairs Bureau of the Autonomous Region, following further investigation of the disaster, the number of affected people reached 50,000 but casualties are still unclear.",earthquake disaster,disaster earthquake rescue,earthquake livestock disaster,earthquake disaster
764,IL3_NW_031227_20140218_G0040006A_segment_1,"Imamjian Dawut reported that the ""Arman"" Muslim Food Industrial Company immediately contacted with authorities in the disaster areas to learn needs of the residents in the areas. After the 7.3 magnitude earthquake happened in Keriya on February12th, the ""Arman"" Food Industrial Company quickly contacted the local authorities. The company was highly concerned about the circumstances of the disaster areas and investigated the needs of the local residents immediately.",earthquake disaster,inundate,earthquake magnitude,earthquake magnitude
765,IL3_WL_031216_20140215_G0040005L_segment_8,"The vice president of the Hotan Ilqi Woolen Textile Clothing Company, Alijan ( on the left) and his team, is preparing the aids for the affected area. Alijan, the vice president of the Hotan Ilqi Woolen Textile Clothing Company, is having his team members prepare lamb for the people in the affected area. The company employees are collecting donations.",earthquake disaster,inundate,flood hospital,virus
766,IL3_NW_031210_20140213_G0040006B_segment_5,"Currently, 982 people have relocated to safety. The quake toppled 157 houses, seriously damages 180 houses, and slightly affected 3117 houses. Some livestock and sheepfolds were damaged.",earthquake disaster,disaster earthquake rescue,earthquake livestock disaster,earthquake disaster
767,IL3_NW_031210_20140213_G0040006B_segment_6,"Until 8 o'clock Urumqi time, Feb 13, the necessary living goods and foods, including 360 tents, 1130 beds, 400 overcoats, 10 tons of flour, 500 kg cooking oil, etc. have been supplied.",earthquake disaster,disaster earthquake rescue,earthquake,earthquake resettle
768,IL3_NW_031260_20140324_G004030B9_segment_7,"The most obvious symptoms are fever, headache, joint and muscle ache, sore throat, weakness, diarrhea, stomachache and vomiting, and severe bleeding in nose and mouth after death.",earthquake disaster,inundate,flood hospital,virus
769,IL3_WL_031216_20140215_G0040005J_segment_2,"People.com news from Beijing on February 12. According to the news on the Xinjiang Seismological Bureau website, a magnitude 7.3 earthquake occurred in Keriya County, Hotan at 17:19, on February 12.",earthquake disaster,inundate,flood hospital,virus
770,IL3_NW_031208_20140515_G0040004Y_segment_33,"6768 houses were included in the construction. Since the beginning of reconstruction, on March 24, 5790 family houses have been built one after the other. This construction will finish before the end of the year, which will guarantee that the residents move into the new houses.",earthquake disaster,disaster earthquake rescue,village collapse mountain earthquake,earthquake village
771,IL3_WL_031211_20140213_G00400065_segment_10,"The numbers of frequency of the earthquake : magnitude 5-5.9, 1 time, magnitude 4-4.9, 6 times, magnitude 3-3.9, 13 times, and the most remaining earthquakes have been around magnitude 5.7.",earthquake disaster,inundate,flood hospital,virus flood
772,IL3_WL_031262_20150212_G0040005G_segment_1,"China News, February 12. On February 11th at around 9 pm, Urumqi time, a sudden avalanche occurred at the exit of the Jungo Tunnel, between Ghulja to Urumqi on the Sayram-Kengsay high speed highway. The piles of avalanche debris have reached as high as three meters and eight meters wide. About four meters of the road surface has been blocked by piles of snow.",earthquake disaster,inundate,earthquake magnitude,earthquake magnitude
773,IL3_DF_031213_20140212_G0040007S_segment_13,The epicenter is 180 km away from Kiriye County. The closest town is located 50 km away from the epicenter.,earthquake disaster,disaster earthquake rescue,earthquake,earthquake resettle
774,IL3_NW_031231_20140224_G0040006M_segment_6,"The 7.3 magnitude earthquake occurred in Keriya , in the Hotan province, on February12th at 5:19 PM, at latitude 36.1 degrees north, longitude 82.5 degrees east, with the epicentre approximately 1200 meters deep.",earthquake disaster,inundate,earthquake magnitude,earthquake magnitude
775,IL3_NW_031214_20140217_G00400058_segment_9,"Xinjiang Earthquake Emergency Rescue team has reached Pishka Township in Keriye County, near the epicenter. Another nine investigation groups have reached Keriye County, Niya County and Qira County for calculating the damage and impact of this earthquake.",earthquake disaster,disaster earthquake rescue,earthquake livestock disaster,earthquake disaster
776,IL3_WL_031216_20140215_G0040005L_segment_3,"The number of farmers is 184,000 and the area is one of the places that Uyghurs are densely populated. After the earthquake on February 12, the local armed forces moved on and arrived at the disaster area at night and set up temporary tents for the people who had lost their households in Pishke village of Achchan township, the most affected area in Keriya County, Hotan.",earthquake disaster,disaster earthquake rescue,earthquake food,food resettlement
777,IL3_DF_031213_20140212_G0040007S_segment_8,"> According to the report from the State Seismological Bureau, a 7.3 magnitude earthquake, located at 36.1 degrees north latitude, and 82.5 degrees longitude, jolted Kiriye County in Hotan Prefecture of Xinjiang Uyghur Autonomous Region, at 3:19 Urumqi time on 12 Feb.",earthquake disaster,inundate,flood hospital,virus
778,IL3_WL_031211_20140213_G00400065_segment_2,The number of remaining quake has been reached 143 times so far and 350 houses damaged. 861 houses with cracked walls. 386 barns collapsed and 178 livestock killed.,earthquake disaster,disaster earthquake rescue,village collapse mountain earthquake,earthquake village
779,IL3_NW_031208_20140515_G0040004Y_segment_23,"""We will roof the rebuilt houses after the disaster for 216 families before May15, will end the construction by the end of June, and will ensure the residents of town move into their new houses by that time,"" said Yasin.",earthquake disaster,disaster earthquake rescue,earthquake,earthquake resettle
780,IL3_NW_031238_20160211_G004030C0_segment_5,"He planed to return from travel after February 2nd. He traveled throughout Hong Kong province and the city of Shenzhen. On February 5[th], he arrived at Ganxian, Gansu City, in Zhejiang Province. On February 6[th], he checked himself into the department of infectious diseases of the People's Hospital of Ganxian County to start his treatment.",earthquake disaster,inundate,flood hospital,virus
781,IL3_NW_031222_20140217_G0040005R_segment_9,"The Xinjiang Earthquake Emergency Rescue Team arrived at Pixta village, located near the scene of the earthquake scene in Kiriya. Another nine investigation teams separately visited Kiriya province, Niya province, Qira province, and related villages, bazaars, and communities to evaluate losses in the catastrophe and investigate the severity of the disaster.",earthquake disaster,disaster earthquake rescue,earthquake,earthquake resettle
782,IL3_DF_031211_20140214_G0040007O_segment_4,"Up to now, the Civil Affairs Bureau of Autonomous Region has distributed 500 tents, 1500 sets of bedclothes, and 1500 overcoats. 5.4 million Yuan has been allocated to this region for disaster relief. 54.4 tons of flour, 3550 kg cooking oil, and 610 tons of coal have also been allocated to ensure the livelihood of victims. Victims' food, cloths, and living place have been ensured.",earthquake disaster,inundate,flood hospital,virus flood
783,IL3_NW_031214_20140217_G00400058_segment_8,"The Autonomous Region and the local Bureau of Civil Affairs have sent more than 800 emergency tents, 3000 cotton coats, electric generators, necessary supplies, and flour and cooking oil to the victims, guaranteeing the victims' eating and living.",earthquake disaster,disaster earthquake rescue,earthquake livestock disaster,earthquake disaster
784,IL3_WL_031228_20140215_G0040006I_segment_3,"( x"" M# \9 )7 v% y : E"" D2 H"" During the earthquake, walls of some houses were cracked. [0 b& G",earthquake disaster,inundate,railway,earthquake fire village
785,IL3_NW_031232_20140213_G0040006N_segment_10,"Source: Alim Rahman, The main editor of Xinjiang Television Station Network.",earthquake disaster,inundate,earthquake magnitude,village
786,IL3_WL_031226_20140216_G0040005V_segment_6,"There was indeed an earthquake. The epicenter of the 7.3-magnitude earthquake was in a deserted area that is located more than 100 kilometers away from the downtown of Keriye and dozens of kilometers away from Atchan village. In addition to that, considering the 7.3 magnitude strong quake, because the earthquake occurred during the daytime and the area is sparsely populated, and many were at work instead of being at home, except for those collapsed houses (about 50 to 60 houses collapsed) and the death of few livestock, there was no greao loss.",earthquake disaster,disaster earthquake rescue,earthquake livestock disaster,earthquake disaster
787,IL3_DF_020008_20160429_G00400GLC_segment_3,"In the time of Qin, the Huguangdu government deployed troops to for suppressing the Datingxia riot. They cooked prisoners for the soldiers after archers shot them dead.",earthquake disaster,disaster earthquake rescue,disaster rescue,disaster
788,IL3_WL_031211_20140214_G00400066_segment_1,"A Fake Compassion Covered by Charity Tashpolat Bilal Elqut A strong 7.3 magnitude earthquake hit Keriya , Hotan Prefecture, on February 12. By 19:00, February 13, Urumchi Time, 7838 people were affected by the earthquake in six counties of Hotan including Keriya, Niye, Lop, Qaraqash, and Hotan County. Currently, 982 people among the affected people were properly situated ( most of the people in the affected area are still in danger). 157 houses collapsed and 180 rooms were severely damaged. The number of the rooms slightly damaged is 3117, and some barns were also damaged.",earthquake disaster,disaster earthquake rescue,earthquake livestock disaster,earthquake disaster
789,IL3_DF_020008_20150522_G00400HQK_segment_5,"Today's news about the flood in Qarluq Ghol reminded me of my two week anthropologic investigation that I conducted at the end of October, 2015 in Lapquq village, Qara Dowe township, Qumul.",earthquake disaster,disaster earthquake rescue,disaster rescue,disaster
790,IL3_NW_031208_20150610_G00400076_segment_1,"Report from China News Jun 10. Translated by Ablimit from Baghdax Network. On June 9, Hotan Prefecture in Xinjiang was hit by the strongest sandstorm this year.",earthquake disaster,inundate,flood hospital,virus flood
791,IL3_DF_020008_20140220_G00400IAW_segment_2,"(Author: Abduqeyyum Obulqasim, Hotan county, Xan'eriq village elementary school teacher)",earthquake disaster,disaster earthquake rescue,disaster,Others
792,IL3_NW_031208_20140515_G0040004Y_segment_1,"About reconstruction after earthquake in Kiriye County. It's been three months since the ""Feb 12"" earthquake in Kiriye. The reconstruction, production, and self-rescue work have been flourishing in the most affected Pishke town, Achchan village, Kiriye County.",earthquake disaster,disaster earthquake rescue,earthquake,earthquake resettle
793,IL3_NW_031233_20140830_G0040006O_segment_5,"Some animal enclosures collapsed in Aqkan village, Keriya province, and some livestock was dead.",earthquake disaster,disaster earthquake rescue,village collapse mountain earthquake,earthquake village
794,IL3_NW_031243_20160427_G0040007F_segment_5,"According to the news, at 11: 20 Urumchi Time, June 29, a magnitude 2.8 earthquake occurred 4 hours after the earthquake struck the city last night.",earthquake disaster,inundate,flood hospital,virus
795,IL3_NW_031214_20140215_G00400061_segment_24,"And then the report came more clearly. According to the report from China News Net, a 7.3 magnitude earthquake hit Kiriye County, located at the southwestern part of Xinjiang Uyghur Autonomous Region, and the northern part of Koinlon Mountain, near to Tibet Autonomous Region. Atchan village in Kiriye County suffered severe disaster in this earthquake.",earthquake disaster,inundate,flood hospital,virus
796,IL3_WL_031216_20140215_G0040005L_segment_5,"At 20:00 Urumqi Time, February 13, Mr. Alijan, the vice president of the Hotan Ilqi Woolen Textile Clothing Company, arrived at the affected area in Pishke village, Achchan township, leading his support team with material aid.",earthquake disaster,disaster earthquake rescue,earthquake,earthquake resettle
797,IL3_NW_031237_20160416_G004030BL_segment_0,"Sixty nine instances of aftershocks occurred in Kyushu, Japan, and a volcano erupted on a small scale.",earthquake disaster,inundate,disaster village,fire
798,IL3_NW_031222_20140217_G0040005R_segment_4,"As of February 13[th] at 11:30 pm, the earthquake affected approximately 60 thousand people from Qira province, Niya province, Lop province, Karakash province, and the city and province of Hotan. Around 20 thousand people were relocated. Around 3,000 houses belonging to 1,000 families were destroyed. There were 2000 sheep reported dead. There has as yet been no report of injuries to people.",earthquake disaster,disaster earthquake rescue,earthquake,earthquake resettle
799,IL3_WL_031228_20140215_G0040006I_segment_6,"3 o. K- m1 K% d; _' \9 W/ i* u After the February 12 disturbance, neither communications nor power supply were affected in Keriye county, the condition of the main reservoir was normal, and no deaths or injuries were reported at this moment.",earthquake disaster,disaster earthquake rescue,village collapse mountain earthquake,earthquake village
800,IL3_NW_031220_20140212_G0040005N_segment_7,"In March 2008, a 7.2 magnitude earthquake occurred in this region. Because many houses were destroyed, farmers were left outside in the cold weather.",earthquake disaster,disaster earthquake rescue,village collapse mountain earthquake,earthquake village
801,IL3_NW_031208_20140515_G0040004Y_segment_2,"The construction effort to settle and enrich the people has been advanced in the shape of rebuilding roads, electric wires, stream and irrigation channels...Sadik Rejep, party secretary of Pishke town, claimed that ""in the reconstruction after earthquake has begun since March 24, 25 houses have been roofed among whole villages, and construction will be accomplished at the end of May.""",earthquake disaster,disaster earthquake rescue,earthquake livestock disaster,earthquake disaster
802,IL3_NW_031239_20140807_G00400078_segment_11,The precipitation in the drought disaster areas decreased 80% compared to the same seasons in the past.,earthquake disaster,disaster earthquake rescue,disaster rescue,disaster
803,IL3_NW_031221_20160317_G0040005F_segment_6,"Zu Baoqu, the second-in-command of the team, reported, ""At 9:00 pm, we received a command from the superior authority",earthquake disaster,inundate,railway,earthquake fire village
804,IL3_NW_031214_20140217_G00400058_segment_6,"Leaders of prefectures, counties, and towns reached the affected regions immediately.",earthquake disaster,disaster earthquake rescue,earthquake,disaster government
805,IL3_NW_031222_20140217_G0040005R_segment_6,"All leaders from province, county, and village visited the local disaster area.",earthquake disaster,disaster earthquake rescue,disaster,disaster flood
806,IL3_DF_020015_20160502_G004014C5_segment_1,"Translated by Nur Website. According to the report from Gdongin hin network on Feb. 23, yesterday morning after nine, there was a fire in a 4-floored building in Duyuv village, Lojov Town, Sangshin District, Fuzhou.",earthquake disaster,inundate,earthquake magnitude,earthquake magnitude
807,IL3_NW_031209_20160218_G004030EN_segment_0,"Address: Beijing City Xi Cheng region Fu Xingmen Road, 2ed yard.",earthquake disaster,inundate,railway,disaster
808,IL3_WL_031216_20140215_G0040005J_segment_3,"A strong earthquake struck the Achchan township and Keriya County town, and cracks appeared in office walls. Casualties have been unclear so far. A farm in the Bingtuan (the Construction and Production Corps of the Chinese Army) that was 100 km away from the epicenter was also strongly affected.",earthquake disaster,disaster earthquake rescue,village collapse mountain earthquake,earthquake village
